               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.053047,            0.020401,           0.0086667,             0.94041,             0.42241,             0.60528,             0.31046,            0.044495,            0.010867,           0.0036467,           0.0059905,           0.0059905,           0.0059905
                  83,             0.04883,            0.020012,            0.005621,             0.94759,             0.42399,             0.61822,             0.29726,            0.041252,            0.011085,           0.0034729,            0.005941,            0.005941,            0.005941
                  84,            0.049457,             0.01914,           0.0068676,             0.98228,             0.41379,             0.64931,             0.29084,            0.040517,            0.011599,           0.0034809,           0.0058915,           0.0058915,           0.0058915
                  85,             0.04821,            0.019698,           0.0057365,             0.93342,              0.4181,             0.64079,             0.30511,            0.044122,            0.011153,           0.0033409,            0.005842,            0.005842,            0.005842
                  86,            0.051481,            0.019212,           0.0084819,             0.94498,              0.4181,             0.67608,              0.3069,            0.040786,            0.010978,           0.0032655,           0.0057925,           0.0057925,           0.0057925
                  87,             0.04967,              0.0189,           0.0076078,             0.94426,              0.4181,             0.67691,             0.36552,            0.037833,             0.01078,           0.0032111,            0.005743,            0.005743,            0.005743
                  88,            0.044099,            0.018933,           0.0054717,             0.94413,             0.43966,              0.6822,             0.37371,            0.037951,            0.010744,           0.0031206,           0.0056935,           0.0056935,           0.0056935
                  89,            0.047026,            0.019578,           0.0059547,             0.97289,             0.41725,             0.71725,             0.33154,            0.042368,            0.010727,           0.0030204,            0.005644,            0.005644,            0.005644
                  90,             0.05274,            0.020314,           0.0059201,             0.89818,             0.52713,             0.71874,             0.40776,            0.036889,            0.010796,           0.0029527,           0.0055945,           0.0055945,           0.0055945
                  91,            0.048274,             0.02002,             0.00666,             0.94206,             0.48797,             0.72917,             0.37698,            0.038146,            0.010665,           0.0028681,            0.005545,            0.005545,            0.005545
                  92,            0.046692,             0.01876,           0.0051556,             0.87924,             0.52429,             0.70217,             0.38555,            0.036418,            0.010466,           0.0028415,           0.0054955,           0.0054955,           0.0054955
                  93,            0.046496,            0.020168,           0.0067197,             0.78359,             0.47947,             0.67196,              0.3349,            0.042524,           0.0098657,           0.0027265,            0.005446,            0.005446,            0.005446
                  94,            0.050455,            0.021634,            0.004299,             0.85599,             0.51245,              0.6878,             0.38099,            0.039632,            0.010061,           0.0027191,           0.0053965,           0.0053965,           0.0053965
                  95,            0.046467,            0.018363,           0.0042798,             0.54204,             0.64412,              0.6759,             0.38026,            0.039305,           0.0098351,           0.0027717,            0.005347,            0.005347,            0.005347
                  96,            0.046397,            0.019593,           0.0056901,             0.52153,             0.65843,             0.69295,             0.37735,            0.038059,           0.0098298,           0.0027262,           0.0052975,           0.0052975,           0.0052975
                  97,            0.048122,             0.01853,           0.0062698,             0.68469,             0.70494,             0.75877,             0.43951,            0.040712,           0.0096072,           0.0026722,            0.005248,            0.005248,            0.005248
                  98,            0.048499,             0.01764,           0.0054476,             0.72701,              0.7098,             0.75977,             0.42752,            0.037942,           0.0097578,           0.0026236,           0.0051985,           0.0051985,           0.0051985
                  99,            0.045259,            0.018854,           0.0037838,             0.67409,             0.73568,             0.78056,              0.4304,            0.036221,           0.0098066,           0.0025475,            0.005149,            0.005149,            0.005149
                 100,            0.044291,            0.018591,           0.0040456,             0.64312,             0.71819,             0.76865,             0.42411,            0.037974,            0.009656,           0.0024977,           0.0050995,           0.0050995,           0.0050995
                 101,            0.043827,            0.018715,           0.0042994,             0.69464,             0.74001,             0.78498,             0.41159,            0.041136,           0.0094447,           0.0024023,             0.00505,             0.00505,             0.00505
                 102,             0.04845,            0.018647,           0.0043142,             0.73399,             0.75185,             0.79932,             0.43072,             0.03827,           0.0094916,            0.002348,           0.0050005,           0.0050005,           0.0050005
                 103,            0.046413,            0.016751,           0.0033579,              0.6931,             0.78642,              0.7807,             0.34598,            0.037929,           0.0096067,           0.0023027,            0.004951,            0.004951,            0.004951
                 104,            0.047132,            0.019141,           0.0046509,             0.66015,             0.78553,             0.75826,             0.32471,            0.035986,           0.0097209,           0.0022113,           0.0049015,           0.0049015,           0.0049015
                 105,            0.047307,             0.01912,           0.0044379,             0.57834,             0.69929,             0.69996,             0.33011,            0.038865,           0.0091261,           0.0020228,            0.004852,            0.004852,            0.004852
                 106,            0.047511,            0.018619,           0.0043546,             0.61548,             0.72716,             0.72875,             0.39333,            0.034152,           0.0092063,            0.001999,           0.0048025,           0.0048025,           0.0048025
                 107,            0.045921,            0.020091,           0.0042582,             0.61176,             0.71394,             0.79069,             0.43167,            0.034577,           0.0091348,           0.0019731,            0.004753,            0.004753,            0.004753
                 108,            0.043488,            0.019784,           0.0041175,              0.6567,             0.67823,             0.79349,             0.44509,            0.033178,            0.009193,            0.001926,           0.0047035,           0.0047035,           0.0047035
                 109,            0.043683,            0.017936,           0.0042584,             0.56269,             0.70557,             0.76842,             0.39181,            0.035994,           0.0090497,           0.0019012,            0.004654,            0.004654,            0.004654
                 110,            0.046182,             0.01984,           0.0039148,             0.62294,             0.67918,             0.75841,             0.41725,            0.038991,           0.0088455,           0.0019493,           0.0046045,           0.0046045,           0.0046045
                 111,             0.04479,            0.018623,           0.0035974,             0.73443,             0.75454,             0.81921,             0.46311,            0.036703,           0.0089098,            0.001929,            0.004555,            0.004555,            0.004555
                 112,            0.044275,            0.020773,           0.0038834,             0.71133,             0.74603,             0.81608,             0.45152,            0.035356,            0.008925,           0.0019343,           0.0045055,           0.0045055,           0.0045055
                 113,            0.040862,            0.018594,           0.0023025,             0.79131,             0.76309,             0.85589,             0.47231,            0.035654,           0.0089446,           0.0018442,            0.004456,            0.004456,            0.004456
                 114,            0.044243,            0.017509,           0.0035531,             0.80011,             0.74172,             0.81532,             0.49549,              0.0326,           0.0090016,           0.0018069,           0.0044065,           0.0044065,           0.0044065
                 115,            0.043062,            0.017027,           0.0033878,             0.87817,             0.73264,             0.85125,              0.4403,            0.034902,           0.0091715,           0.0017602,            0.004357,            0.004357,            0.004357
                 116,            0.042685,            0.017246,            0.004689,             0.70849,             0.89648,             0.85444,             0.49901,            0.031681,            0.009096,           0.0017263,           0.0043075,           0.0043075,           0.0043075
                 117,            0.044971,            0.017677,           0.0058606,             0.63531,             0.92426,             0.83989,             0.46773,            0.033771,           0.0090817,           0.0016765,            0.004258,            0.004258,            0.004258
                 118,            0.045533,            0.020145,           0.0030962,             0.75052,             0.80783,             0.85451,             0.47362,            0.034715,           0.0088445,           0.0016684,           0.0042085,           0.0042085,           0.0042085
                 119,             0.04533,            0.017472,           0.0032953,             0.80044,             0.82153,             0.88265,             0.50695,            0.032988,           0.0087295,           0.0016297,            0.004159,            0.004159,            0.004159
                 120,            0.042493,            0.018061,           0.0048666,             0.81627,             0.82665,              0.8887,             0.49254,            0.033175,           0.0086474,           0.0016585,           0.0041095,           0.0041095,           0.0041095
                 121,            0.043128,            0.017126,           0.0032219,             0.78458,             0.85215,             0.88821,             0.46757,            0.034717,           0.0085176,           0.0015461,             0.00406,             0.00406,             0.00406
                 122,             0.04221,            0.016259,           0.0036152,              0.6656,             0.85634,             0.88178,               0.479,            0.032519,           0.0087338,           0.0014955,           0.0040105,           0.0040105,           0.0040105
                 123,            0.043285,            0.018394,           0.0038227,             0.83965,             0.80445,             0.89197,             0.47379,            0.034639,           0.0086704,           0.0014602,            0.003961,            0.003961,            0.003961
                 124,            0.041538,             0.01851,           0.0054751,             0.84107,             0.81114,             0.89306,             0.48243,            0.033532,           0.0087253,           0.0014263,           0.0039115,           0.0039115,           0.0039115
                 125,            0.042901,            0.017847,           0.0025045,             0.75316,             0.84302,             0.92348,             0.52486,            0.032709,           0.0086748,           0.0013828,            0.003862,            0.003862,            0.003862
                 126,            0.041019,            0.017947,           0.0031057,             0.85952,             0.86232,             0.91863,             0.53418,            0.031113,           0.0085112,           0.0013908,           0.0038125,           0.0038125,           0.0038125
                 127,            0.041771,            0.017918,           0.0038666,             0.85769,             0.85428,             0.90798,              0.5288,            0.029897,           0.0084732,           0.0014124,            0.003763,            0.003763,            0.003763
                 128,            0.038418,            0.016499,           0.0033563,             0.80373,             0.81274,             0.85676,             0.51469,            0.030444,            0.008443,           0.0014227,           0.0037135,           0.0037135,           0.0037135
                 129,            0.040821,            0.016658,           0.0034615,             0.80002,             0.78175,             0.84107,             0.51201,            0.031741,           0.0082438,           0.0014515,            0.003664,            0.003664,            0.003664
                 130,            0.042913,            0.016755,           0.0036464,             0.85381,              0.8373,             0.89986,             0.54747,            0.032672,           0.0083367,           0.0014571,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041135,            0.015798,             0.00434,             0.93235,             0.82268,             0.91036,             0.56256,            0.030203,           0.0083271,           0.0014523,            0.003565,            0.003565,            0.003565
                 132,            0.042298,            0.017871,           0.0038434,             0.81406,             0.83299,             0.89299,              0.5647,            0.031348,           0.0082731,            0.001446,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041523,            0.017918,           0.0036495,             0.80276,             0.83602,             0.90222,             0.54084,            0.033663,           0.0082241,           0.0014248,            0.003466,            0.003466,            0.003466
                 134,            0.038956,             0.01785,           0.0027106,             0.84571,             0.82481,             0.90391,             0.57537,            0.030589,           0.0081849,           0.0014066,           0.0034165,           0.0034165,           0.0034165
                 135,            0.040168,            0.017756,           0.0031311,             0.86212,             0.82177,              0.8979,             0.57727,            0.029576,           0.0082125,           0.0014114,            0.003367,            0.003367,            0.003367
                 136,             0.03865,            0.014642,           0.0026062,             0.83671,             0.81079,               0.875,             0.59484,            0.029457,           0.0081972,           0.0013811,           0.0033175,           0.0033175,           0.0033175
                 137,            0.040962,            0.016974,           0.0036415,              0.8376,             0.82679,             0.89747,             0.55891,            0.030276,           0.0080371,           0.0012909,            0.003268,            0.003268,            0.003268
                 138,            0.037986,            0.015144,             0.00231,             0.85716,             0.80627,              0.9036,             0.55605,            0.028158,           0.0080251,           0.0012478,           0.0032185,           0.0032185,           0.0032185
                 139,            0.039956,            0.017169,           0.0034821,             0.92288,             0.82868,             0.93374,             0.58922,            0.028969,           0.0079698,           0.0012335,            0.003169,            0.003169,            0.003169
                 140,            0.038791,            0.016973,           0.0032799,             0.90214,             0.82997,             0.93156,              0.5772,            0.029029,           0.0079321,           0.0012241,           0.0031195,           0.0031195,           0.0031195
                 141,            0.041911,            0.016164,           0.0051794,               0.879,             0.84926,             0.92043,              0.5374,            0.030236,           0.0078834,           0.0011961,             0.00307,             0.00307,             0.00307
                 142,            0.041185,            0.016707,            0.002895,             0.87943,             0.85075,             0.92465,             0.52926,            0.031063,           0.0078547,           0.0012027,           0.0030205,           0.0030205,           0.0030205
                 143,            0.040227,             0.01629,           0.0024409,             0.84678,             0.82868,             0.91566,             0.57517,            0.029731,           0.0078506,           0.0011805,            0.002971,            0.002971,            0.002971
                 144,            0.037563,            0.016218,           0.0025096,             0.85151,             0.82868,              0.9125,             0.57959,            0.029496,           0.0078593,           0.0011669,           0.0029215,           0.0029215,           0.0029215
                 145,            0.040459,            0.017549,           0.0045056,             0.81137,             0.90123,             0.92994,             0.58168,            0.030123,           0.0079265,           0.0011446,            0.002872,            0.002872,            0.002872
                 146,            0.037669,            0.015563,           0.0024065,              0.8933,             0.86225,              0.9446,             0.62031,            0.027793,           0.0079079,           0.0011136,           0.0028225,           0.0028225,           0.0028225
                 147,            0.038498,            0.015388,           0.0023318,             0.87653,             0.90014,             0.94777,             0.62737,            0.027727,           0.0078619,           0.0011104,            0.002773,            0.002773,            0.002773
                 148,            0.037995,            0.017021,           0.0023657,             0.83843,             0.90442,             0.94223,             0.60471,            0.029225,           0.0077402,            0.001117,           0.0027235,           0.0027235,           0.0027235
                 149,             0.03643,            0.015686,           0.0022547,             0.81636,             0.94779,             0.92673,             0.59424,            0.029545,           0.0076713,           0.0011116,            0.002674,            0.002674,            0.002674
